,Name,ID,RAM,Processor,Model,Brand,Screen Size,Connectivity,OS,Camera,Storage,Price
103,NEW SAMSUNG GALAXY S22 ULTRA UNLOCKED 4 ALL CARRIER SM-S908U1 ALL COLOR & MEMORY,185431849849,12 GB,Qual Comm,Samsung Galaxy S22 Ultra,Samsung,6.8 in,"4G, 4G+, 5G, Bluetooth, GPS",Android,108.0 MP,"128 GB, 256 GB, 512 GB, 1024 GB",634.99 to 809.99
104,Samsung Galaxy Note 9 N960U T-Mobile Verizon Mint Unlocked AT&T Boost Total B-,175891649193,6GB,Octa Core,Samsung Galaxy Note9,Samsung,6.4 in,"2G, 3G, 4G, Bluetooth, LTE, Wi-Fi",Android,12.0MP,128 GB,151.99 to 161.49
105,Apple iPhone 13 Unlocked (A2482) - Excellent Condition,165623270503,4 GB,A15 Bionic,Apple iPhone 13,Apple,6.1 in,"4G, 4G+, 5G, Bluetooth, GPRS, GPS",iOS,12.0 MP,"128 GB, 256 GB, 512 GB",489.99 to 549.99
106,"S22 Ultra 5G Smartphone 7.3"" 8GB+256GB Factory Unlocked Android 13 Mobile Phones",375039487371,4GB/6GB/8GB,Deca Core,S22,Unbranded,7.3 in,"3G, 4G, 5G, Bluetooth, USB Type-C, Wi-Fi",Android,100.0MP,64GB/128GB/256GB,118.80 to 131.65
107,Samsung Galaxy S10e - 128GB 256GB - Unlocked Verizon AT&T T-Mobile Metro - Good!,276095162946,6 GB,Octa Core,Samsung Galaxy S10e,Samsung,5.8 in,"2G, 3G, 4G, 4G+, Bluetooth, Dual-Band, Lightning, LTE, Wi-Fi",Android,12.0 MP,,94.95 to 164.95
108,Samsung Galaxy Z FLIP 4 -5G 256GB UNLOCKED AT&T VERIZON TMOBILE METRO EXCELLENT,134570103443,8 GB,Snapdragon 8+ Gen 1,Samsung Galaxy Z Flip4,Samsung,6.7 in,"4G, 4G+, 5G, Bluetooth, GPS",Android,12.0 MP,256 GB,314.48 to 369.48
109,New Samsung Galaxy S21 Ultra 5G 256GB / 512GB ATT T-Mobile Verizon Unlocked,404431937877,16 GB,Octa Core,Samsung Galaxy S21 Ultra 5G,Samsung,6.8 in,5G,Android,108.0 MP,128GB/256GB/512GB,518.29 to 609.99
110,Apple iPhone 12 mini 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,304077015674,4 GB,Hexa Core,Apple iPhone 12 mini,Apple,5.4 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,128 GB,294.95
111,Samsung S7 G930V 4G VoLTE Black / Gold (Verizon) Unlocked US Mobile,145029540704,4 GB,Quad+Quad Core,G930V,Samsung,5.1 in,4G,Android,16 mp,32GB,79.99
112,Samsung Galaxy A14 5G SM-A415U 64GB AT&T T-Mobile MetroPCS Unlocked Stylish Fast,275786226084,4 GB,Octa Core,Samsung Galaxy A14 5G,Samsung,6.6 in,"5G, Bluetooth, Wi-Fi, NFC",Android,50.0 Megapixel,64 GB,99.99 to 119.99
113,New Android S23 4G Smartphone 64GB/128GB Dual SIM Octa Core Unlocked Mobile,196015236144,4 GB,Octa Core,,Unbranded,6.8 in,4G,Android,,,76.99 to 89.99
114,"Apple iPhone 5S - Unlocked - 16GB, 32GB, 64GB - Gray",164946577700,1 GB,Dual Core,Apple iPhone 5s,Apple,4 in,"3G, 4G",iOS,8.0 MP,16GB,29.99 to 54.99
115,"New ListingS23 Ultra 6.8"" 8GB+256GB Smartphone Android 12 Unlocked 5G LTE Mobile Phones",145456844489,,,S23 Ultra,Unbranded,,,Android 12,,/,27.99 to 103.99
116,Bullitt Mobile CAT S22 FLIP 16GB - Black - (T-Mobile)Unlocked - Very Good,175607425480,,,S22,CAT,,,,,16 GB,45.99
117,Samsung Galaxy A03s SM-A037U T-Mobile Unlocked 32GB Black C,175903749821,,,Galaxy A03s,Samsung,,,,,32GB,64.99
118,Apple iPhone 11 - 64GB - Purple (Unlocked) A2111 (CDMA + GSM),276151155211,2 GB,,Iphone 11,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,,174.00 to 295.00
119,Apple iPhone 12 64GB Factory Unlocked AT&T T-Mobile Verizon Fair Condition,294615926295,4 GB,Hexa Core,Apple iPhone 12,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,64 GB,248.95
120,Apple iPhone 12 128GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,294291371564,4 GB,Hexa Core,Apple iPhone 12,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,128 GB,324.95
121,Samsung Galaxy S9 | S9+ Plus 64GB 128GB 256GB - (Unlocked) Verizon T-Mobile AT&T,255573438198,4 GB,Octa Core,,Samsung,5.8 in,"2G, 3G, 4G, Bluetooth, GPS, LTE, Wi-Fi",Android,12.0 MP,,104.94 to 194.94
122,Samsung Galaxy S20 FE 5G G781U  Verizon Straight Talk Mint Unlocked Boost AT&T,266470918672,12 GB,Octa Core,Samsung Galaxy S20 FE 5G,Samsung,6.5,"4G, 4G+, 5G, Bluetooth, GPS",Android,12.0 MP,128,164.99 to 209.99
123,Samsung Galaxy Z Flip3 5G SM-F711U 256GB Black (T-Mobile) BRAND NEW SEALED BOX,225883522001,8 GB,Octa Core,Samsung Galaxy Z Flip3 5G,Samsung,"6.7 in, 1.9 in","5G, Bluetooth, Wi-Fi",Android,12.0 MP,256 GB,328.55
124,UNLOCKED Apple iPhone 11 | 11 Pro | 11 Pro Max 64GB 128GB 256GB 512G EXCELLENT A,386300915814,,Hexa Core,,Apple,6.5 in,"4G, Bluetooth, GPS, Lightning, NFC, Wi-Fi",iOS,12.0 MP,,199.90 to 492.20
125,"Apple iPhone 11 GSM+CDMA Factory Unlocked Verizon T-Mobile AT&T -""Very GOOD""",363482493672,4 GB,Hexa Core,Apple iPhone 11,Apple,6.1 in,"USB, 2G, 3G, 4G, Bluetooth, Dual-Band, GPS, Lightning, NFC, Wi-Fi",iOS,12.0MP,"64 GB, 128GB, 256GB",239.88 to 254.88
126,"S30 Ultra Android 13 8GB+256GB 7.3"" 5G Smartphone Unlocked Dual Sim Mobile Phone",375060041222,4GB/6GB/8GB,Deca Core,S30 Ultra,Unbranded,7.3 in,"3G, 4G, 5G, Bluetooth, USB Type-C, Wi-Fi",Android,108.0MP,64GB/128GB/256GB,116.16 to 128.48
127,Samsung Galaxy S21 + PLUS G996U1 5G 128GB UNLOCKED VERIZON ATT TMOBILE EXCELLENT,126101442124,8 GB,Octa Core,Samsung Galaxy S21+ 5G,Samsung,6.8 in,5G,Android,12.0 MP,128 GB,239.48 to 308.48
128,Apple iPhone 12 - 64GB 128GB 256GB - All Colors - Very Good Condition,284798065110,4 GB,Hexa Core,Apple iPhone 12,Apple,6.1 in,"4G, 5G, Bluetooth, Lightning, NFC, Wi-Fi",iOS,12.0 MP,,283.00 to 408.00
129,"S24 Ultra Android 13 128G 7.0"" 5G+WiFi Smartphone Unlocked Dual Sim Mobile Phone",375071246229,4GB/6GB,Deca Core,S24,Unbranded,7.0 in,"3G, 4G, 5G, Bluetooth, USB Type-C, Wi-Fi",Android,108.0MP,64GB/128GB,103.84 to 112.64
130,New ListingSamsung Galaxy A54  5G 128gb (  T-Mobile) ISSUE READ #80,115989944275,,,Samsung Galaxy A54 5g,Samsung,,5G,Android,,128 GB,119.95
131,Samsung Galaxy A52 5G SM-A526U T-Mobile Unlocked 128GB Awesome Black C,175217903147,6 GB RAM,,Galaxy A52 5G,Samsung,,,,,128GB,109.99
132,Samsung Galaxy S21 SM-S991U 5G  128GB T-MOBILE / METRO / MINT / TELLO/ EXCELLENT,134370921066,8 GB,Octa Core,Samsung Galaxy S21 5G,Samsung,6.2 in,"4G, 4G+, LTE, USB Type-C, 5G, Bluetooth, Wi-Fi, NFC, GPS",Android,"12.0 MP, 64.0 MP",128 GB,224.88
133,Samsung Galaxy S10 G973U Unlocked Verizon T-Mobile Mint Boost Straight Talk AT&T,175903610804,4 GB,Octa Core,Samsung Galaxy S10,Samsung,6.1 in,"2G, 3G, 4G, Bluetooth, LTE, Wi-Fi",Android,16.0 MP,128 GB,129.99 to 189.99
134,COOLPAD Belleza 3321 CP3321AT T-MOBILE GSM Unlocked 8GB 4G LTE Flip Phone,364403725004,8 GB,Quad Core,Coolpad Snap,Coolpad,2.8 in,"Bluetooth, 4G, GPS, LTE",Android For Flip Phones,2.0 MP,8 GB,42.95
135,Nokia 3310 Navy blue Unlocked 2G GSM 900/1800 Mobile Phone (with Snake II Game),155813861527,,Single Core,Nokia 3310,Nokia,2.4 in,2G,Symbian,Not Applicable,128 MB,21.00
136,Samsung Galaxy S21 5G SM-G991 128GB Unlocked AT&T Verizon T-Mobile S21 Very Good,185698601733,8 GB,Octa Core,Samsung Galaxy S21 5G,Samsung,6.2 in,"4G, 5G, GPS, LTE, NFC, USB Type-C, Wi-Fi",Android,64.0 MP,128 GB,219.98
137,New Samsung Galaxy Note 20|20 Ultra 5G 128GB Unlocked T-Mobile AT&T Smartphone ,354929794549,8GB/12GB,Qualcomm,,Samsung,6.7in/6.9in,"4G, 5G, Bluetooth, GPS",Android,12 MP,128GB,285.99 to 508.99
138,Motorola Moto Edge 5G 2022 XT2205-2 50MP 128GB Unlocked (AT&T/T-mobile/Verizon),325536146708,6 GB,Octa Core,Edge 5G 2022,Motorola,6.6,5G,Android 12,50.0 Megapixel,128 GB,159.99
139,Samsung Galaxy S21+ Plus G996U Unlocked T-Mobile Verizon Smartphone | Shaded,134426237987,8 GB,Qual Comm,Samsung Galaxy S21+ 5G,Samsung,6.7 in,"3G,4G,5G,Bluetooth,GPS",Android,64.0 MP,,189.00 to 199.99
140,REVVL 6 Pro 5G - Gray - 128GB (T-Mobile/Metro Unlocked),325401266489,,,REVVL 6 Pro 5G,Wingtech,,,Android,,128 GB,129.99
141,"LG K51 32GB K500UM T-Mobile/Unlocked Smartphone, Good",256309214853,3 GB,Octa Core,LG K51,LG,6.5 in,"3G, 4G, Bluetooth, Wi-Fi",Android,"5.0 MP, 13.0 MP, 2.0 MP",32 GB,57.99
142,Apple iPhone 5 A1428 16/32/64 various carriers FREE SHIPPING,295577830335,,,Apple iPhone 5,Apple,,,,,,29.99
143,Apple iPhone 13 Pro 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,295182153971,6 GB,Hexa Core,Apple iPhone 13 Pro,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,128 GB,559.95
144,Apple iPhone Se 2nd Gen AT&T/Verizon/T-Mobile/TracFone/Cricket/Boost/Unlocked,125965723706,4 GB,Hexa Core,Apple iPhone SE (2nd Generation),Apple,4.7 in,"2G, 3G, 4G, 4G+, Bluetooth, Dual-Band, GPS, Lightning, LTE, Wi-Fi",iOS,12.0 MP,"64GB, 128GB, 256GB",118.00 to 178.00
145,LG Stylo 5 LM-Q720 T-Mobile Unlocked 32GB White Good,195982955475,3 GB RAM,,Stylo 5,LG,,,,,32GB,54.99
146,Samsung Galaxy A03s A037U 32GB Unlocked T-Mobile Verizon US Cellular Brand New,186175010677,,,Galaxy A03s,Samsung,,,Android,,32GB,84.99
147,New Samsung Galaxy S7 G930T T-MOBILE Unlocked Smartphone/Silver Titanium/32GB,284638804509,4 GB,Quad Core,Samsung Galaxy S7,Samsung,5.1 in,"Bluetooth, Wi-Fi, Micro USB, NFC, GPS",Android,12.0 MP,32 GB,101.99
148,Apple iPhone 6S Factory Unlocked 16GB 32GB 64GB 128GB AT&T T-mobile Verizon,202427720622,,,iPhone 6S,Apple,,,IOS,,,74.99 to 103.99
149,Apple iPhone 8 Plus 64GB 128GB 256GB Fully Unlocked AT&T T-mobile Verizon Good,202736123500,3 GB,Hexa Core,iPhone 8 Plus,Apple,5.5 in,,iOS,12.0 MP,,158.99 to 193.99
150,Apple iPhone 11 - 64GB | 128GB - Black (Unlocked) A2111 (CDMA + GSM) All Colors,186108739454,4 GB,Hexa Core,Apple iPhone 11,Apple,6.1 in,"Bluetooth, 4G, 3G, Wi-Fi, 2G, Lightning, NFC, GPRS, GPS, LTE, Dual-Band",iOS,12.0 MP,,229.95 to 299.95
151,Apple iPhone 8 Plus 64GB 128GB 256GB ATT /T-Mobile/Unlock Verizon Good Condition,176019694777,3 GB,Hexa Core,Apple iPhone 8 Plus,Apple,5.5 in,"Bluetooth, 4G, Wi-Fi, Lightning, NFC",iOS,12.0 MP,,129.00 to 149.00
152,Samsung Galaxy S9+ Plus SM-G965U 64GB GSM Unlocked for AT&T T-Mobile & Verizon,375014572901,6 GB,Octa Core,Samsung Galaxy S9+,Samsung,6.2 in,"USB Type-C, Bluetooth, Wi-Fi, NFC",Android,12.0 MP,64 GB,138.99
153,Apple iPhone XR 64GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,304104247943,3 GB,Hexa Core,Apple iPhone XR,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning",iOS,12.0MP,64 GB,189.95
154,Samsung Galaxy S21 5G 128GB 256GB T-Mobile Unlocked Android Smartphone | Shaded,134426302002,8 GB,Qual Comm,Samsung Galaxy S21 5G,Samsung,6.2 in,"2G, 4G, 5G, Bluetooth, GPS, LTE, USB Type-C, Wi-Fi",Android,12.0 MP,128 GB,164.99 to 234.99
155,"2023 Reno10 Pro+Smartphone 7.3"" 16GB+1TB Android Factory Unlocked Mobile Phone~",166414317872,,Single Core,Accellorize 33110W,Unbranded,"7.3""/5.5""",,ANDROID,108MP,16GB+1TB Flash Memory,77.11 to 122.99
156,Samsung Galaxy A03s SM-A037U 32GB / 64GB | LOCKED OR UNLOCKED GOOD 7.5-8.5/10,265766149172,3GB,Octa Core,Samsung Galaxy A03s,Samsung,"6.5""","4G, Bluetooth, GPS",Android,13.0 MP,32 GB / 64 GB,43.08 to 46.16
157,Google Pixel 4 | 4 XL | 4a  - 64GB | 128GB - (Unlocked) Verizon AT&T T-Mobile,265728200787,6 GB,Octa Core,,Google,5.7 in,"2G, 3G, 4G, Bluetooth, LTE, Wi-Fi",Android,12.0 - 15.9 MP,,104.95 to 214.94
158,T-Mobile REVVL 4+ 64GB 4G LTE Metro PCS + GSM Unlocked Smartphone Open Box,176008163388,4 GB,Quad Core,T-mobile REVVL 4+,T-Mobile,6.52 in,4G,Android,16.0 MP,64 GB,69.99
159,Apple iPhone SE 2nd Gen. - 64/128GB - All Colors - Unlocked/AT&T/T-Mobile,125866355932,3 GB,Hexa Core,Apple iPhone SE (2nd Generation),Apple,4.7 in,"Bluetooth, 4G, Wi-Fi, Lightning, NFC",iOS,12.0 MP,,99.99 to 129.99
160,SAMSUNG GALAXY S7 4G SM-G930T T-MOBILE 32GB BLACK EXCELLENT CONDITION,276137385750,,,Samsung Galaxy S7,Samsung,5.1 in,4G,Android,,32 GB,54.44
161,Apple iPhone 14 Pro 256GB Unlocked AT&T T-Mobile Verizon Excellent Condition,295571543510,6 GB,Hexa Core,Apple iPhone 14 Pro,Apple,6.1 in,"4G, 5G, Bluetooth, Lightning, NFC, Wi-Fi",iOS,12.0 MP,256 GB,764.95
162,Samsung Galaxy XCover Pro SM-G715A GSM Unlocked (AT&T/T-mobile) 64GB SmartPhone,324722887292,4 GB,Octa Core,Samsung Galaxy XCover Pro,Samsung,6.3 in,"USB Type-C, Bluetooth, 4G, Wi-Fi, GPS",Android,"8.0 MP, 25.0 MP",64 GB,144.99
163,Samsung Galaxy S9 SM-G960U 64GB GSM Unlocked for AT&T T-Mobile Verizon,394770093056,4 GB,Octa Core,Samsung Galaxy S9 SM-G960U,Samsung,5.8 in,"USB Type-C, Bluetooth, Wi-Fi, NFC",Android,12.0 MP,64 GB,119.99
164,Samsung Galaxy A32 5G - 64GB - (Unlocked) Verizon AT&T T-Mobile Metro Cricket,276047613930,4 GB,Octa Core,Samsung Galaxy A32 5G,Samsung,6.5 in,"USB Type-C, 5G, Bluetooth, Wi-Fi, GPS",Android,48.0 MP,64 GB,89.95 to 124.95
165,Apple iPhone 13 Mini Smartphone A2481 128GB 256GB 512GB Unlocked Very Good,225258692877,4GB,Hexa Core,Apple iPhone 13 Mini,Apple,5.42 in,"4G, 5G, Bluetooth, GPRS, GPS, Tri-Band",iOS,,,414.00 to 609.00
166,Apple iPhone X 64GB 256GB Factory Unlocked SmartPhone AT&T T-mobile Verizon,192999206009,,,iPhone X,Apple,,,IOS,,,198.99 to 228.99
167,Apple iPhone 12 Pro 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,304104247802,6 GB,Hexa Core,Apple iPhone 12 Pro,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,256 GB,429.95
168,"Apple iPhone 5C - Unlocked, AT&T - A1532 - 8GB, 16GB, 32GB",164946580228,1 GB,Dual Core,Apple iPhone 5c,Apple,4 in,"2G, 3G, Bluetooth",iOS,8.0 MP,Varies,24.99 to 34.99
169,Apple iPhone 13 Pro 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,304600815041,6 GB,Hexa Core,Apple iPhone 13 Pro,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,256 GB,549.95
170,Alcatel REVVL | 5049W | 32GB | 13MP | Android 7 | Smartphone | T-Mobile Unlocked,185351478348,2 GB,Quad Core,Revvl,Alcatel,5.5 in,"3G, 4G, Bluetooth, GPS",Android,13.0 MP,32 GB,49.99
171,Apple iPhone SE 3rd Gen 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,304644636054,4 GB,Hexa Core,Apple iPhone SE (3rd Generation),Apple,4.7 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0MP,128 GB,284.95
172,NEW Samsung Galaxy Note 9 Factory Unlocked SM-N960U1 ALL COLORS & CAPACITY,183523799688,6 GB,Octa Core,Samsung Galaxy Note9,Samsung,6.4 in,"4G, 4G+, Bluetooth, GPRS, GPS",Android,12.0 MP,128 GB,219.99
173,"NEW SAMSUNG GALAXY NOTE 20 ULTRA 5G UNLOCKED (SM-N986U1, US Model) GSM+CDMA",125362068377,12 GB,Qual Comm,Samsung Galaxy Note20 Ultra 5G,Samsung,6.9 in,"4G, 4G+, 5G, Bluetooth, GPS",Android,108.0 MP,128 GB 512 GB,449.88 to 729.99
174,Samsung Galaxy A53 5G 128GB Black SM-A536 Unlocked T-Mobile AT&T FedEx 2 Day,275544148948,6 GB,Exynos 1280,Samsung Galaxy A53 5G,Samsung,6.5 in,"2G, 3G, 4G, 4G+, 5G, Bluetooth, GPRS, GPS, LTE, Micro USB, NFC, USB Type-C, WAP, Wi-Fi",Android,64.0 MP,128 GB,179.99 to 249.99
175,Apple iPhone 8 Fully Unlocked SmartPhone 64GB 256GB AT&T T-mobile Verizon Good,202832944112,,,iPhone 8,Apple,,,IOS,,,108.99 to 138.99
176,NEW SAMSUNG GALAXY NOTE 20 ULTRA 5G UNLOCKED 4 ALL CARRIERS SM-N986U1 128GB ⚫🟠⚪,164473420916,12 GB,Qualcomm,Samsung Galaxy Note20 Ultra 5G,Samsung,6.9 inches,"4G, 4G+, 5G, Bluetooth, GPS",Android,108.0 MP,"128GB, 512GB",446.49
177,"Global S23 Ultra Smartphone 7.3"" 8GB+256GB Android 13 5G Unlocked Mobile Phones",386247610582,8 GB,Octa Core,S23 Ultra,NHEE,7.3 in,"4G, 4G+, 5G, Bluetooth, GPS, Headphone Jack, USB Type-C, Wi-Fi",Android 13.0,50MP+108MP,256 GB,131.04
178,Apple iPhone 12 5G Unlocked 64GB 128GB T-Mobile Cricket Smartphone | Excellent,134005300504,4 GB,Hexa Core,Apple iPhone 12,Apple,6.1 in,"3G, 4G, 4G+, 5G, Bluetooth, GPS, Wi-Fi",iOS,12.0 MP,"64GB, 128GB, 256GB",244.99 to 269.00
179,Apple iPhone 12 256GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,304164503660,4 GB,Hexa Core,Apple iPhone 12,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,256 GB,372.95
180,Apple iPhone 14 Pro 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,295571543322,6 GB,Hexa Core,Apple iPhone 14 Pro,Apple,6.1 in,"4G, 5G, Bluetooth, Lightning, NFC, Wi-Fi",iOS,12.0 MP,128 GB,714.95
181,Apple iPhone 5s - 16/32/64GB silver-gold-space gray,295616852900,,,Apple iPhone 5s,Apple,,,iOS,,,34.99 to 49.99
182,Apple iPhone 8 Plus Factory Unlocked SmartPhone 64GB 256GB AT&T T-mobile Verizon,203584555858,3 GB,Hexa Core,iPhone 8 Plus,Apple,5.5 in,,IOS,12.0 MP,,188.99 to 224.99
183,NEW Samsung Galaxy S21+/S21 Ultra 5G 128GB Factory Unlocked GSM CDMA cell phone,354996679149,8GB/12GB,Qual Comm,,Samsung,6.7in/6.8in,"4G, 4G+, 5G, Bluetooth, GPS",Android,64.0 MP,128 GB,318.99 to 409.88
184,"S23 Ultra 4G/5G Smartphone 7.3"" 16GB+1TB Unlocked Android Mobile Phones 8000mAh",385619980529,16 GB,10 Core,S23 Ultra,Unbranded,7.3 in,"3G, 4G, 5G, GPS, LTE, USB Type-C, Wi-Fi",Android,Front 50MP+Rear 108MP,1 MB,164.67
185,Samsung Galaxy S20 Plus G986U 5G Verizon GSM Unlocked T-Mobile Mint 128GB/512GB,225719826180,12 GB,Octa Core,Samsung Galaxy S20+ 5G,Samsung,6.7 in,"2G, 3G, 4G, 5G, Bluetooth, Wi-Fi",Android,12.0 MP,128 GB,189.99 to 279.99
186,Apple iPhone 8 Factory Unlocked 64GB 128GB 256GB AT&T T-mobile Verizon,323431648102,,,iPhone 8,Apple,4.7 in,,IOS,12.0 MP,,123.99 to 163.99
187,Apple iPhone 13 Pro Max 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,295317456975,6 GB,Hexa Core,Apple iPhone 13 Pro Max,Apple,6.7 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,128 GB,634.95
188,Google Pixel 6a GX7AS - 128GB - AT&T/T-Mobile/Verizon Or Unlocked - Excellent!,175560074223,6 GB,Octa Core,Google Pixel 6a,Google,6.1 in,"USB Type-C, 5G, Bluetooth, Wi-Fi, NFC",Android,12.0 MP,128 GB,173.55 to 239.28
189,Apple iPhone 13 Pro Max 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,295317457187,6 GB,Hexa Core,Apple iPhone 13 Pro Max,Apple,6.7 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,128 GB,594.95
190,Apple iPhone SE 2nd Gen 128GB Unlocked AT&T T-Mobile Verizon Good Condition,196002137888,3 GB,Hexa Core,Apple iPhone SE (2nd Generation),Apple,4.7 in,"4G, Bluetooth, Lightning, NFC, Wi-Fi",iOS,12.0MP,128 GB,139.99
191,Apple iPhone 14 Plus 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,304789955308,6 GB,Hexa Core,Apple iPhone 14 Plus,Apple,6.7 in,"4G, 5G, Bluetooth, Lightning, NFC, Wi-Fi",iOS,12.0 MP,128 GB,579.95
192,Apple iPhone 8 64GB 128GB 256GB Fully Unlocked SmartPhone AT&T T-mobile Verizon,233416795867,,,iPhone 8,Apple,,,IOS,,,93.99 to 113.99
193,Samsung Galaxy Z FLIP 3 -5G- SM-F711U1 256GB FACTORY UNLOCK CDMA + GSM EXCELLENT,134482144387,8 GB,Qualcomm Snapdragon 888,Samsung Galaxy Z Flip3 5G,Samsung,6.7 in,"4G, 4G+, 5G, Bluetooth, GPS",Android,12.0 MP,256 GB,279.48 to 299.48
194,Samsung Galaxy S20 Ultra SM-G988U1 128G GSM+CDMA Unlocked Mobile Fast Delivery,394655295586,12 GB,Octa-core,Samsung Galaxy S20 Ultra 5G,Samsung,6.9 in,"4G, 5G, Bluetooth, Wi-Fi",Android,12.0 MP,128 GB,312.88
195,Apple iPhone 11 Pro Max 256GB Unlocked AT&T T-Mobile Verizon Excellent Condition,304128352138,4 GB,Hexa Core,Apple iPhone 11 Pro Max,Apple,6.5 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning",iOS,12.0MP,256 GB,424.95
196,Apple iPhone 14 - 128GB/256GB/512GB - All Colors - Choose your Network,285488433397,6 GB,Hexa Core,Apple iPhone 14,Apple,6.1 in,"5G, Bluetooth, Wi-Fi",iOS,12.0 MP,,499.99 to 649.99
197,NEW Samsung Galaxy S9 G960U 64GB GSM Unlocked AT&T T-Mobile MetroPCS Verizon,174097348978,4GB,,Samsung Galaxy S9 SM-G960U,Samsung,5.8 in,LTE,Android,12.0 MP,64 GB,184.88
198,Apple iPhone XR 128GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,294291233520,3 GB,Hexa Core,Apple iPhone XR,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning",iOS,12.0MP,128 GB,212.95
199,Apple iphone 7/7 plus 32GB/128GB Unlocked Verizon tmobile at&t Smartphone LTE,113940220736,2 GB,Quad Core,iPhone 7,Apple,,"2G, 3G, 4G, 5G, Bluetooth, GPS, LTE, NFC, Wi-Fi",iOS,12.0 MP,"32GB , 128GB , 256GB",89.00 to 152.00
200,Apple iPhone 6 Plus 16GB 64GB 128GB Factory Unlocked AT&T T-mobile Verizon,223516790542,,,iPhone 6 Plus,Apple,,,IOS,,,68.99
201,Samsung Galaxy S21 ULTRA - 128GB-512GB - Fully Unlocked - Very Good Condition,325408888522,12GB,Hexa Core,Samsung Galaxy S21 Ultra 5G,Samsung,6.8 in,"4G, 5G, Bluetooth, GPS, NFC, Wi-Fi",Android,12.0 MP,128 GB,349.99 to 459.99
202,New ListingApple iPhone 13 128GB - T-Mobile / Metro - MIDNIGHT - 5G Smartphone - EXCELLENT!,266530337700,,Hexa Core,Apple iPhone 13,Apple,6.1 in,"5G, Bluetooth, Wi-Fi, Lightning, NFC",iOS,12.0 MP,128 GB,419.99
203,Apple iPhone 12 64GB Factory Unlocked T-Mobile Verizon AT&T Good Condition,115969353216,2 GB,,iphone 12,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,64GB,228.00 to 345.00
204,Wingtech Celero 5G+ DSH88501 Boost Mobile Unlocked 128GB Gray Excellent,175974624767,,,Celero 5G+,Wingtech,,,,,128GB,99.99
205,Apple iPhone 12 mini 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,304096416474,4 GB,Hexa Core,Apple iPhone 12 mini,Apple,5.4 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,256 GB,312.95
206,NEW Samsung Galaxy S20 5G SM-G981U 128GB Fully Unlocked AT&T Verizon T-Mobile,204105186222,12 GB,Octa Core,Samsung Galaxy S20 5G,Samsung,6.2 in,"4G, Bluetooth, Dual-Band, GPS",Android,16.0 MP,128 GB,274.88
207,NEW Samsung Galaxy S8+ Plus G955U 64GB (Unlocked GSM+CDMA) AT&T T-Mobile Verizon,173966027949,4 GB,Octa Core,Samsung Galaxy S8+,Samsung,6.2 in,"4G, GPS",Android,12.0 MP,64 GB,194.88
208,Apple iPhone 8 | 8 Plus 64GB 128GB 256GB GSM Unlocked AT&T T-Mobile Metro Good!,275968250661,2 GB,Hexa Core,,Apple,4.7 in,"2G, 3G, 4G, 4G+, Bluetooth, LTE",iOS,12.0 MP,,109.95 to 234.95
209,Motorola Moto Edge 5G 2022 XT2205-2 Unlocked (AT&T/T-mobile/Verizon) Excellent,355114550461,6 GB,Octa Core,Edge 5G 2022,Motorola,6.6,5G,Android 12,50.0 Megapixel,128 GB,149.99
